STUDY,STUDY_TYPE,DURATION_TYPE,SUBJECT_GROUP,SUBJECT_DETAILS,SUBJECT_NOTES,EXPOSURE_DETAILS,TIMING_OF_MEASUREMENT,ENDPOINT_CATEGORY,ENDPOINT,RESPONSE,P_VALUE,Increasing (Red) Decreasing (Blue),SUBJECT_TEXT
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Heart Rate and Heart Rate Variability ,SDNN,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Heart Rate and Heart Rate Variability ,RMSSD,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Heart Rate and Heart Rate Variability ,HR,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Heart Rate and Heart Rate Variability ,SDNN,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Heart Rate and Heart Rate Variability ,RMSSD,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Heart Rate and Heart Rate Variability ,HR,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Blood Pressure,SBP,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Blood Pressure,DBP,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Blood Pressure,ACE,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Blood Pressure,SBP,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Blood Pressure,DBP,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Blood Pressure,ACE,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Heart Rate and Heart Rate Variability ,SDNN,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Heart Rate and Heart Rate Variability ,RMSSD,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Heart Rate and Heart Rate Variability ,HR,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Heart Rate and Heart Rate Variability ,SDNN,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Heart Rate and Heart Rate Variability ,RMSSD,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Heart Rate and Heart Rate Variability ,HR,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Blood Pressure,SBP,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Blood Pressure,DBP,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Blood Pressure,ACE,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Blood Pressure,SBP,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Blood Pressure,DBP,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Blood Pressure,ACE,No Significant Change,>0.5,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Heart Rate and Heart Rate Variability ,HF,No Significant Change,0.08,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Heart Rate and Heart Rate Variability ,LF,No Significant Change,0.08,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Heart Rate and Heart Rate Variability ,HF,No Significant Change,0.08,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Heart Rate and Heart Rate Variability ,LF,No Significant Change,0.08,0,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Heart Rate and Heart Rate Variability ,HF,Significant Decrease,0.02,-1,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Heart Rate and Heart Rate Variability ,HF,Significant Decrease,0.02,-1,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Heart Rate and Heart Rate Variability ,LF,Significant Increase,0.02,1,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Heart Rate and Heart Rate Variability ,LF,Significant Increase,0.02,1,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Heart Rate and Heart Rate Variability ,LF/HF,Significant Increase,0.01,1,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",20 h PE,Heart Rate and Heart Rate Variability ,LF/HF,Significant Increase,0.01,1,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.1 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Heart Rate and Heart Rate Variability ,LF/HF,Significant Increase,0.02,1,Adults--With and Without Asthma 
Arjomandi et al. (2015),CHE,ST,Adults,With and Without Asthma ,no significant difference between groups,"0.2 ppm, 4 h (alternating 15 min periods of exercise and rest)",IPE,Heart Rate and Heart Rate Variability ,LF/HF,Significant Increase,0.02,1,Adults--With and Without Asthma 
Barath et al. (2013),CHE,ST,Adults,Healthy,,"0.3 ppm, 75 min (alternating 15 min periods of exercise and rest)",2 h PE,Heart Rate and Heart Rate Variability ,SDNN,No Significant Change,>0.5,0,Healthy Adults
Barath et al. (2013),CHE,ST,Adults,Healthy,,"0.3 ppm, 75 min (alternating 15 min periods of exercise and rest)",2 h PE,Heart Rate and Heart Rate Variability ,RMSSD,No Significant Change,>0.5,0,Healthy Adults
Barath et al. (2013),CHE,ST,Adults,Healthy,,"0.3 ppm, 75 min (alternating 15 min periods of exercise and rest)",2 h PE,Heart Rate and Heart Rate Variability ,LF,No Significant Change,>0.5,0,Healthy Adults
Barath et al. (2013),CHE,ST,Adults,Healthy,,"0.3 ppm, 75 min (alternating 15 min periods of exercise and rest)",2 h PE,Heart Rate and Heart Rate Variability ,LF/HF,No Significant Change,>0.5,0,Healthy Adults
Barath et al. (2013),CHE,ST,Adults,Healthy,,"0.3 ppm, 75 min (alternating 15 min periods of exercise and rest)",2 h PE,Heart Rate and Heart Rate Variability ,HR,No Significant Change,>0.5,0,Healthy Adults
Barath et al. (2013),CHE,ST,Adults,Healthy,,"0.3 ppm, 75 min (alternating 15 min periods of exercise and rest)",2 h PE,Blood Pressure,SBP,No Significant Change,>0.5,0,Healthy Adults
Barath et al. (2013),CHE,ST,Adults,Healthy,,"0.3 ppm, 75 min (alternating 15 min periods of exercise and rest)",2 h PE,Blood Pressure,DBP,No Significant Change,>0.5,0,Healthy Adults
Barath et al. (2013),CHE,ST,Adults,Healthy,,"0.3 ppm, 75 min (alternating 15 min periods of exercise and rest)",2 h PE,Heart Rate and Heart Rate Variability ,HF,No Significant Change,0.07,0,Healthy Adults
Barath et al. (2013),CHE,ST,Adults,Healthy,,"0.3 ppm, 75 min (alternating 15 min periods of exercise and rest)",6 h PE,Heart Rate and Heart Rate Variability ,SDNN,No Significant Change,>0.5,0,Healthy Adults
Barath et al. (2013),CHE,ST,Adults,Healthy,,"0.3 ppm, 75 min (alternating 15 min periods of exercise and rest)",6 h PE,Heart Rate and Heart Rate Variability ,RMSSD,No Significant Change,>0.5,0,Healthy Adults
Barath et al. (2013),CHE,ST,Adults,Healthy,,"0.3 ppm, 75 min (alternating 15 min periods of exercise and rest)",6 h PE,Heart Rate and Heart Rate Variability ,LF,No Significant Change,>0.5,0,Healthy Adults
Barath et al. (2013),CHE,ST,Adults,Healthy,,"0.3 ppm, 75 min (alternating 15 min periods of exercise and rest)",6 h PE,Heart Rate and Heart Rate Variability ,LF/HF,No Significant Change,>0.5,0,Healthy Adults
Barath et al. (2013),CHE,ST,Adults,Healthy,,"0.3 ppm, 75 min (alternating 15 min periods of exercise and rest)",6 h PE,Heart Rate and Heart Rate Variability ,HR,No Significant Change,>0.5,0,Healthy Adults
Barath et al. (2013),CHE,ST,Adults,Healthy,,"0.3 ppm, 75 min (alternating 15 min periods of exercise and rest)",6 h PE,Blood Pressure,SBP,No Significant Change,>0.5,0,Healthy Adults
Barath et al. (2013),CHE,ST,Adults,Healthy,,"0.3 ppm, 75 min (alternating 15 min periods of exercise and rest)",6 h PE,Blood Pressure,DBP,No Significant Change,>0.5,0,Healthy Adults
Barath et al. (2013),CHE,ST,Adults,Healthy,,"0.3 ppm, 75 min (alternating 15 min periods of exercise and rest)",6 h PE,Heart Rate and Heart Rate Variability ,HF,No Significant Change,0.07,0,Healthy Adults
Barath et al. (2013),CHE,ST,Adults,Healthy,,"0.3 ppm, 75 min (alternating 15 min periods of exercise and rest)",6 h PE,Vascular Function,Forearm Blood Flow (in response to acetylcholine),Significant Increase,0.02,1,Healthy Adults
Barath et al. (2013),CHE,ST,Adults,Healthy,,"0.3 ppm, 75 min (alternating 15 min periods of exercise and rest)",6 h PE,Vascular Function,Forearm Blood Flow (in response to sodium nitroprusside),Significant Increase,0.01,1,Healthy Adults
Farraj et al. (2012),TOX,ST,NR,Rats (SH),,"0.2 ppm, 4 h",Dg. E,Heart Rate Variability,SDNN,No Significant Change,>0.5,0,Rats (SH)--Age NR
Farraj et al. (2012),TOX,ST,NR,Rats (SH),,"0.2 ppm, 4 h",Dg. E,Heart Rate Variability,RMSSD,No Significant Change,>0.5,0,Rats (SH)--Age NR
Farraj et al. (2012),TOX,ST,NR,Rats (SH),,"0.2 ppm, 4 h",Dg. E,Heart Rate Variability,HF,No Significant Change,>0.5,0,Rats (SH)--Age NR
Farraj et al. (2012),TOX,ST,NR,Rats (SH),,"0.2 ppm, 4 h",Dg. E,Heart Rate Variability,LF,No Significant Change,>0.5,0,Rats (SH)--Age NR
Farraj et al. (2012),TOX,ST,NR,Rats (SH),,"0.2 ppm, 4 h",Dg. E,Heart Rate Variability,LF/HF,No Significant Change,>0.5,0,Rats (SH)--Age NR
Farraj et al. (2012),TOX,ST,NR,Rats (SH),,"0.2 ppm, 4 h",Dg. E,Heart Rate Variability,RR,No Significant Change,>0.5,0,Rats (SH)--Age NR
Farraj et al. (2012),TOX,ST,NR,Rats (SH), ,"0.8 ppm, 4 h",Dg. E,Heart Rate Variability,SDNN,Significant Increase,<0.5,1,Rats (SH)--Age NR
Farraj et al. (2012),TOX,ST,NR,Rats (SH),,"0.8 ppm, 4 h",Dg. E,Heart Rate Variability,RMSSD,Significant Increase,<0.5,1,Rats (SH)--Age NR
Farraj et al. (2012),TOX,ST,NR,Rats (SH),,"0.8 ppm, 4 h",Dg. E,Heart Rate Variability,HF,Significant Increase,<0.5,1,Rats (SH)--Age NR
Farraj et al. (2012),TOX,ST,NR,Rats (SH),,"0.8 ppm, 4 h",Dg. E,Heart Rate Variability,LF,Significant Increase,<0.5,1,Rats (SH)--Age NR
Farraj et al. (2012),TOX,ST,NR,Rats (SH),,"0.8 ppm, 4 h",Dg. E,Heart Rate Variability,LF/HF,Significant Increase,<0.5,1,Rats (SH)--Age NR
Farraj et al. (2012),TOX,ST,NR,Rats (SH),,"0.8 ppm, 4 h",Dg. E,Heart Rate Variability,RR,Significant Increase,<0.5,1,Rats (SH)--Age NR
Farraj et al. (2016),TOX,ST,NR,Rats (SH),,"0.3 ppm, 3 h",Mean of 6 h PE,Heart Rate Variability,LF/HF,No Significant Change,>0.5,0,Rats (SH)--Age NR
Farraj et al. (2016),TOX,ST,NR,Rats (SH),,"0.3 ppm, 3 h",Mean of 6 h PE,Blood Pressure,SBP,No Significant Change,>0.5,0,Rats (SH)--Age NR
Farraj et al. (2016),TOX,ST,NR,Rats (SH),,"0.3 ppm, 3 h",Mean of 6 h PE,Heart Rate Variability,SDNN,Significant Decrease,<0.5,-1,Rats (SH)--Age NR
Farraj et al. (2016),TOX,ST,NR,Rats (SH),,"0.3 ppm, 3 h",Mean of 6 h PE,Heart Rate Variability,RMSSD,Significant Decrease,<0.5,-1,Rats (SH)--Age NR
Farraj et al. (2016),TOX,ST,NR,Rats (SH),,"0.3 ppm, 3 h",Mean of 6 h PE,Heart Rate Variability,HF,Significant Decrease,<0.5,-1,Rats (SH)--Age NR
Farraj et al. (2016),TOX,ST,NR,Rats (SH),,"0.3 ppm, 3 h",Mean of 6 h PE,Blood Pressure,DBP,Significant Decrease,<0.5,-1,Rats (SH)--Age NR
Farraj et al. (2016),TOX,ST,NR,Rats (SH),,"0.3 ppm, 3 h",Mean of 6 h PE,Blood Pressure,Pulse Pressure,Significant Increase,<0.5,1,Rats (SH)--Age NR
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.1 ppm, 3 h (alternating 15 min periods of exercise and rest)",2.5 h PE,Vascular Function,BAD,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.1 ppm, 3 h (alternating 15 min periods of exercise and rest)",2.5 h PE,Vascular Function,FMD,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.1 ppm, 3 h (alternating 15 min periods of exercise and rest)",2.5 h PE,Vascular Function,VTI,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.2 ppm, 3 h (alternating 15 min periods of exercise and rest)",2.5 h PE,Vascular Function,BAD,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.2 ppm, 3 h (alternating 15 min periods of exercise and rest)",2.5 h PE,Vascular Function,FMD,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.2 ppm, 3 h (alternating 15 min periods of exercise and rest)",2.5 h PE,Vascular Function,VTI,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.1 ppm, 3 h (alternating 15 min periods of exercise and rest)",2.5 h PE,Impaired Heart Function,Stroke Volume,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.1 ppm, 3 h (alternating 15 min periods of exercise and rest)",2.5 h PE,Impaired Heart Function,LV Ejection Time,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.2 ppm, 3 h (alternating 15 min periods of exercise and rest)",2.5 h PE,Impaired Heart Function,Stroke Volume,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.2 ppm, 3 h (alternating 15 min periods of exercise and rest)",2.5 h PE,Impaired Heart Function,LV Ejection Time,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.1 ppm, 3 h (alternating 15 min periods of exercise and rest)",2.5 h PE,Heart Rate and Heart Rate Variability ,HR,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.2 ppm, 3 h (alternating 15 min periods of exercise and rest)",2.5 h PE,Heart Rate and Heart Rate Variability ,HR,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.1 ppm, 3 h (alternating 15 min periods of exercise and rest)",2.5 h PE,Blood Pressure,DBP,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.2 ppm, 3 h (alternating 15 min periods of exercise and rest)",2.5 h PE,Blood Pressure,DBP,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.1 ppm, 3 h (alternating 15 min periods of exercise and rest)",Dg. E,Vascular Function,BAD,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.1 ppm, 3 h (alternating 15 min periods of exercise and rest)",Dg. E,Vascular Function,FMD,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.1 ppm, 3 h (alternating 15 min periods of exercise and rest)",Dg. E,Vascular Function,VTI,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.2 ppm, 3 h (alternating 15 min periods of exercise and rest)",Dg. E,Vascular Function,BAD,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.2 ppm, 3 h (alternating 15 min periods of exercise and rest)",Dg. E,Vascular Function,FMD,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.2 ppm, 3 h (alternating 15 min periods of exercise and rest)",Dg. E,Vascular Function,VTI,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.1 ppm, 3 h (alternating 15 min periods of exercise and rest)",Dg. E,Impaired Heart Function,Stroke Volume,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.1 ppm, 3 h (alternating 15 min periods of exercise and rest)",Dg. E,Impaired Heart Function,LV Ejection Time,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.2 ppm, 3 h (alternating 15 min periods of exercise and rest)",Dg. E,Impaired Heart Function,Stroke Volume,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.2 ppm, 3 h (alternating 15 min periods of exercise and rest)",Dg. E,Impaired Heart Function,LV Ejection Time,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.1 ppm, 3 h (alternating 15 min periods of exercise and rest)",Dg. E,Heart Rate and Heart Rate Variability ,HR,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.2 ppm, 3 h (alternating 15 min periods of exercise and rest)",Dg. E,Heart Rate and Heart Rate Variability ,HR,No Significant Change,>0.5,0,Healthy Adults
Frampton et al. (2015),CHE,ST,Adults,Healthy,GSTM WT and GSTM null (no significant difference between groups),"0.1 ppm, 3 h (alternating 15 min periods of exercise and rest)",Dg. E,Blood Pressure,DBP,No Significant Change,>0.5,0,Healthy Adults
